startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
4,9,False,False,11,231,1650212400,1650234720,18420,0,1747,391,1440.93,1572.6
6,15,False,True,46,164,1650234600,1650257880,23280,0,2566,354,318.14,356.6
8,15,False,True,10,164,1650202200,1650226380,24180,0,2566,363,318.14,356.6
7,10,False,True,46,164,1650224100,1650228840,4740,0,221,327,245.58,278.6
13,4,False,True,4,164,1650244800,1650253740,8940,0,799,180,305.12,342.6
11,3,False,False,56,103,1650197700,1650226560,19980,0,1834,247,322.79,370.6
4,6,False,False,30,4,1650201600,1650222240,14880,0,1487,83,367.44,418.6
10,1,False,False,56,94,1650205020,1650220440,11460,0,627,323,292.09,337.6
0,5,False,False,30,261,1650250740,1650285840,14940,1,1402,314,373.02,430.2
13,4,False,False,30,4,1650193200,1650217200,15300,0,1325,231,245.58,287.6
0,3,False,False,7,68,1650189900,1650217620,16200,0,1375,152,262.33,305.61
9,6,False,False,56,63,1650219240,1650246600,22080,0,2469,354,327.44,375.6
3,13,False,True,46,164,1650204540,1650213540,9000,0,903,343,213.95,244.6
5,10,False,False,56,167,1650217020,1650233940,14040,0,960,343,174.88,211.6
7,11,False,False,30,72,1650189720,1650210120,16440,0,1544,80,340.47,389.61
15,13,False,True,4,164,1650263940,1650279240,15300,1,1847,156,313.49,351.6
14,13,False,False,30,155,1650190800,1650214440,15660,0,1319,162,186.98,224.6
5,4,False,False,30,4,1650201000,1650228000,15840,0,1329,124,288.37,333.6
14,4,False,False,7,20,1650217260,1650242160,16200,0,1301,151,262.33,305.61
15,1,False,False,7,190,1650260580,1650291960,25380,1,2796,154,306.98,353.6
5,12,False,False,36,31,1650251340,1650335940,30720,1,3066,125,801.86,901.3
12,6,False,False,35,119,1650204600,1650235620,25020,0,2796,237,630.69,701.59
0,15,False,False,30,155,1650222600,1650263340,24780,0,2494,193,919.07,1017.2
4,2,False,False,56,167,1650209940,1650229620,16860,0,1391,325,423.26,478.61
10,4,False,True,4,164,1650225600,1650240540,14940,0,1380,334,180.47,208.61
5,2,False,False,30,138,1650233100,1650251100,14640,0,1030,19,403.72,457.6
9,11,False,True,20,164,1650261720,1650279840,18120,1,2339,223,157.21,183.6
11,2,False,False,30,114,1650195000,1650220800,18660,0,1649,80,305.12,351.6
13,3,False,False,30,155,1650193200,1650212160,13980,0,1034,162,213.95,253.6
13,14,False,True,46,164,1650237720,1650245520,7800,0,672,343,186.98,215.6
2,10,False,True,20,164,1650220560,1650226800,6240,0,545,69,357.21,397.1
9,4,False,False,7,192,1650222840,1650248580,13620,0,1242,156,262.33,305.61
9,5,False,False,17,80,1650260280,1650312720,26700,1,2943,175,545.11,615.19
5,13,False,False,7,43,1650204420,1650223020,14520,0,1097,273,155.35,189.1
13,8,False,False,53,204,1650243000,1650280800,13560,1,1164,254,440.0,502.2
13,11,False,False,7,68,1650226500,1650250560,19320,0,1914,334,171.16,207.6
1,6,False,False,7,167,1650223800,1650243600,17640,0,1582,57,256.75,299.61
15,6,False,False,30,72,1650199200,1650227040,22440,0,2568,13,694.88,770.6
7,3,False,True,46,164,1650226560,1650240420,13860,0,1473,343,262.33,296.61
9,4,False,False,7,192,1650239100,1650255840,13260,0,1242,156,262.33,305.61
9,6,False,False,7,68,1650204000,1650235920,23400,0,2618,154,313.49,360.6
9,4,False,True,4,164,1650200400,1650211500,11100,0,1238,156,262.33,296.61
10,11,False,True,20,164,1650234300,1650246240,11940,0,1104,72,332.09,371.6
8,3,False,False,35,38,1650218340,1650239640,19080,0,1622,193,667.91,741.6
9,10,False,False,7,43,1650205800,1650232740,23280,0,2666,178,327.44,374.1
2,15,False,False,30,72,1650215280,1650247740,24960,0,2588,191,432.56,487.1
4,9,False,False,7,192,1650217020,1650243540,13800,0,1219,153,273.49,317.6
4,2,False,False,7,264,1650212100,1650226320,12240,0,944,55,213.95,253.6
12,11,False,False,39,117,1650229080,1650277800,21660,1,2580,389,549.22,619.61
2,0,False,True,23,164,1650214500,1650219240,4740,0,228,193,357.21,397.1
4,14,False,False,7,18,1650203100,1650231420,14160,0,1364,151,262.33,305.61
4,2,False,False,7,11,1650213600,1650234480,13500,0,1213,55,213.95,253.6
6,3,False,False,30,155,1650222660,1650255240,18600,0,1702,81,366.51,417.6
9,0,False,False,56,103,1650208500,1650233280,19620,0,2074,95,395.35,448.6
11,6,False,True,46,164,1650228300,1650239580,11280,0,1104,255,301.4,338.61
0,10,False,True,23,164,1650209100,1650217020,7920,0,762,124,213.95,244.6
2,9,False,False,7,68,1650202200,1650228840,22740,0,2145,153,322.79,369.1
13,1,False,True,4,164,1650198300,1650206640,8340,0,862,216,77.21,97.6
6,3,False,False,30,72,1650214800,1650239880,17520,0,1627,81,366.51,417.6
9,5,False,False,15,94,1650257400,1650296580,23100,1,2686,175,584.19,657.2
6,7,False,False,56,38,1650250500,1650281640,10440,1,710,316,406.51,466.2
7,15,False,True,46,164,1650239520,1650261360,21840,0,2426,319,552.56,608.6
10,1,False,True,4,164,1650204000,1650209160,5160,0,185,102,191.7,220.68
10,1,False,True,4,164,1650236400,1650241320,4920,0,185,396,254.22,287.89
5,4,False,False,56,167,1650189600,1650212400,14220,0,1039,340,262.33,305.61
15,11,False,False,16,12,1650263340,1650301500,27360,1,2904,292,518.14,585.1
3,13,False,True,46,164,1650231600,1650240540,8940,0,903,97,310.7,348.6
1,4,False,False,30,155,1650212820,1650235440,20760,0,1976,84,292.09,337.6
4,12,False,False,58,67,1650233040,1650265020,20100,0,1618,256,706.04,787.09
9,8,False,True,20,164,1650262620,1650282000,19380,1,2436,261,405.28,450.28
15,4,False,True,4,164,1650200400,1650213300,12900,0,1468,60,147.91,173.6
11,13,False,True,46,164,1650213120,1650225300,12180,0,1192,97,357.21,398.6
3,7,False,False,56,72,1650214260,1650244200,15900,0,1533,343,417.68,472.61
2,0,False,True,4,164,1650219600,1650223680,4080,0,228,178,357.21,397.1
11,0,False,True,4,164,1650208080,1650215760,7680,0,596,334,171.16,198.6
9,14,False,True,4,164,1650220800,1650239400,18600,0,2397,118,399.07,443.6
4,15,False,True,10,164,1650228000,1650242760,14760,0,1468,144,366.51,408.6
4,15,False,True,46,164,1650197400,1650211860,14460,0,1468,256,320.0,358.6
14,6,False,False,7,167,1650198720,1650243600,16740,0,1392,54,328.38,382.21
8,0,False,False,35,94,1650202200,1650221400,12240,0,762,390,760.0,840.6
11,7,False,False,35,138,1650208620,1650230100,16320,0,1325,126,491.16,551.6
11,10,False,True,4,164,1650241560,1650252600,11040,0,1104,334,213.95,244.6
6,14,False,False,7,167,1650195900,1650229920,16980,0,1392,62,328.38,382.21
13,3,False,False,7,68,1650215400,1650238920,16500,0,1449,332,213.95,253.6
7,5,False,False,56,167,1650198900,1650214560,12540,0,834,346,155.35,190.6
